pasada,pattern_file,point_index,slope_percent,lat,lon,ele,window_length_m
1,1_pattern,96,50.05,43.386619,-5.827926,187.0,8.0
1,1_pattern,100,39.66,43.386354,-5.828048,192.0,2.5
1,1_pattern,334,35.41,43.388223,-5.852043,559.0,6.7
1,1_pattern,357,42.22,43.38809,-5.853968,577.8,6.2
1,1_pattern,367,35.93,43.38777,-5.854269,583.6,5.0
1,1_pattern,548,-66.86,43.384069,-5.852143,523.8,8.7
1,1_pattern,550,-50.83,43.384058,-5.85205,519.6,4.7
1,1_pattern,551,-49.37,43.384041,-5.852041,518.6,2.0
1,1_pattern,553,-54.28,43.384028,-5.851982,515.0,7.6
1,1_pattern,555,-47.72,43.383965,-5.851966,513.4,9.0
1,1_pattern,560,-46.63,43.384215,-5.851695,506.9,5.6
1,1_pattern,561,-40.17,43.384208,-5.851669,506.0,2.2
1,1_pattern,580,-37.56,43.382429,-5.851948,467.1,6.7
1,1_pattern,591,-57.35,43.382193,-5.852592,456.9,9.6
1,1_pattern,597,50.97,43.382192,-5.852463,457.2,6.8
1,1_pattern,598,-37.18,43.382188,-5.8524,455.3,5.1
1,1_pattern,603,-40.43,43.382201,-5.852094,453.6,8.9
1,1_pattern,604,-56.74,43.382179,-5.852054,451.3,4.1
1,1_pattern,605,-35.65,43.382158,-5.852024,450.1,3.4
1,1_pattern,606,-61.60,43.382126,-5.85201,447.8,3.7
1,1_pattern,607,-57.26,43.382095,-5.851989,445.6,3.8
1,1_pattern,610,-37.28,43.382024,-5.85197,443.6,8.1
1,1_pattern,611,-35.65,43.38201,-5.85195,442.8,2.2
1,1_pattern,612,-46.49,43.38199,-5.85194,441.7,2.4
1,1_pattern,613,-59.98,43.381976,-5.851928,440.6,1.8
1,1_pattern,632,-38.82,43.381839,-5.851116,429.1,9.7
1,1_pattern,648,-38.88,43.381969,-5.850501,423.0,8.0
1,1_pattern,657,-35.95,43.382039,-5.850118,416.2,8.3
1,1_pattern,660,-47.33,43.382069,-5.850037,415.3,7.6
1,1_pattern,661,-69.97,43.38206,-5.850027,414.4,1.3
1,1_pattern,663,-41.20,43.382033,-5.850019,413.4,3.1
1,1_pattern,664,-37.63,43.382013,-5.850037,412.4,2.7
1,1_pattern,677,-42.97,43.381738,-5.850172,402.2,9.7
1,1_pattern,697,-40.79,43.382224,-5.848903,386.8,9.5
1,1_pattern,725,-35.60,43.381571,-5.848907,365.3,7.4
1,1_pattern,744,-43.45,43.380802,-5.849746,348.8,3.7
1,1_pattern,771,-44.02,43.379838,-5.850545,317.3,7.0
1,1_pattern,780,-37.35,43.379322,-5.850778,307.1,7.0
1,1_pattern,990,-40.25,43.388779,-5.832956,266.6,9.9
1,1_pattern,993,-35.15,43.388713,-5.832979,265.0,7.7
1,1_pattern,1002,-38.24,43.38866,-5.832763,262.5,8.6
1,1_pattern,1020,-36.47,43.388191,-5.832373,248.0,7.3
1,1_pattern,1032,-38.70,43.388284,-5.831829,239.7,8.3
1,1_pattern,1073,-80.84,43.386576,-5.827917,188.0,2.5
1,1_pattern,1075,-67.43,43.386364,-5.828076,185.3,2.5
10,10_pattern,165,44.14,43.400735,-5.826444,162.0,4.1
11,11_pattern,165,44.14,43.400735,-5.826444,162.0,4.1
14,14_pattern,214,-38.32,43.322318,-4.263975,203.7,7.8
14,14_pattern,252,-35.17,43.321173,-4.263192,196.1,7.6
14,14_pattern,290,-56.42,43.320769,-4.264008,173.4,8.7
14,14_pattern,358,37.29,43.319087,-4.26,156.8,7.4
14,14_pattern,381,35.11,43.31984,-4.258942,178.9,8.3
14,14_pattern,412,-46.83,43.319732,-4.260018,169.3,6.0
14,14_pattern,442,35.07,43.319071,-4.260294,155.6,5.1
15,15_pattern,42,47.41,43.199466,-3.587143,714.5,9.6
15,15_pattern,46,35.81,43.199511,-3.587298,717.7,7.3
15,15_pattern,49,42.31,43.199547,-3.58738,719.1,8.9
15,15_pattern,51,85.04,43.199543,-3.587421,721.7,3.7
15,15_pattern,55,72.24,43.199581,-3.587513,724.1,9.8
